Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
147,University of Rochester,https://www.timeshighereducation.com/world-university-rankings/university-rochester,United States,10017,4.9,0.34,49 : 51,2021
149,Durham University,https://www.timeshighereducation.com/world-university-rankings/durham-university,United Kingdom,17090,15.2,0.31,55 : 45,2021
149,University of Geneva,https://www.timeshighereducation.com/world-university-rankings/university-geneva,Switzerland,17271,16,0.38,61 : 39,2021
151,Pohang University of Science and Technology (POSTECH),https://www.timeshighereducation.com/world-university-rankings/pohang-university-science-and-technology-postech,South Korea,3034,9.7,0.03,24 : 76,2021
152,University of Florida,https://www.timeshighereducation.com/world-university-rankings/university-florida,United States,46632,16.1,0.09,56 : 44,2021
152,Pompeu Fabra University,https://www.timeshighereducation.com/world-university-rankings/pompeu-fabra-university,Spain,11914,22.9,0.13,60 : 40,2021
152,TU Dresden,https://www.timeshighereducation.com/world-university-rankings/tu-dresden,Germany,31103,32.9,0.15,43 : 57,2021
155,University of Cape Town,https://www.timeshighereducation.com/world-university-rankings/university-cape-town,South Africa,21647,11.7,0.17,54 : 46,2021
155,Trinity College Dublin,https://www.timeshighereducation.com/world-university-rankings/trinity-college-dublin,Ireland,17154,21.4,0.32,59 : 41,2021
155,Tufts University,https://www.timeshighereducation.com/world-university-rankings/tufts-university,United States,11024,9.7,0.16,55 : 45,2021
158,Bielefeld University,https://www.timeshighereducation.com/world-university-rankings/bielefeld-university,Germany,24890,71.5,0.08,57 : 43,2021
158,University of Nottingham,https://www.timeshighereducation.com/world-university-rankings/university-nottingham,United Kingdom,30798,15,0.29,54 : 46,2021
160,University of Leeds,https://www.timeshighereducation.com/world-university-rankings/university-leeds,United Kingdom,31461,14.3,0.3,60 : 40,2021
160,University of Sussex,https://www.timeshighereducation.com/world-university-rankings/university-sussex,United Kingdom,16259,15.8,0.37,55 : 45,2021
160,University of Technology Sydney,https://www.timeshighereducation.com/world-university-rankings/university-technology-sydney,Australia,26529,41.7,0.36,51 : 49,2021
163,University of Liverpool,https://www.timeshighereducation.com/world-university-rankings/university-liverpool,United Kingdom,25168,14.6,0.33,55 : 45,2021
164,Université Catholiquede Louvain,https://www.timeshighereducation.com/world-university-rankings/universite-catholique-de-louvain,Belgium,26462,39.7,0.2,53 : 47,2021
164,University of Vienna,https://www.timeshighereducation.com/world-university-rankings/university-vienna,Austria,32650,38.5,0.28,65 : 35,2021
166,"Rutgers,the State University of New Jersey",https://www.timeshighereducation.com/world-university-rankings/rutgers-state-university-new-jersey-0,United States,44264,11,0.17,52 : 48,2021
167,University of Bologna,https://www.timeshighereducation.com/world-university-rankings/university-bologna,Italy,67298,24.4,0.12,56 : 44,2021
167,Korea University,https://www.timeshighereducation.com/world-university-rankings/korea-university,South Korea,22666,16.6,0.22,n/a,2021
169,University of Alabamaat Birmingham,https://www.timeshighereducation.com/world-university-rankings/university-alabama-birmingham,United States,18211,17.3,0.06,63 : 37,2021
170,University of Antwerp,https://www.timeshighereducation.com/world-university-rankings/university-antwerp,Belgium,15272,31.2,0.17,55 : 45,2021
170,University of Leicester,https://www.timeshighereducation.com/world-university-rankings/university-leicester,United Kingdom,15551,14.7,0.32,53 : 47,2021
170,University of Notre Dame,https://www.timeshighereducation.com/world-university-rankings/university-notre-dame,United States,12149,10.9,0.12,46 : 54,2021
170,Sant’Anna School of Advanced Studies– Pisa,https://www.timeshighereducation.com/world-university-rankings/santanna-school-advanced-studies-pisa,Italy,661,10,0.2,36 : 64,2021
174,University of Exeter,https://www.timeshighereducation.com/world-university-rankings/university-exeter,United Kingdom,22007,17,0.28,54 : 46,2021
174,Lomonosov Moscow State University,https://www.timeshighereducation.com/world-university-rankings/lomonosov-moscow-state-university,Russian Federation,28525,8.4,0.32,52 : 48,2021
176,Northeastern University,https://www.timeshighereducation.com/world-university-rankings/northeastern-university,United States,20711,14.1,0.36,48 : 52,2021
176,Ulsan National Institute of Science and Technology (UNIST),https://www.timeshighereducation.com/world-university-rankings/ulsan-national-institute-science-and-technology-unist,South Korea,3983,14.3,0.08,27 : 73,2021
178,University of Aberdeen,https://www.timeshighereducation.com/world-university-rankings/university-aberdeen,United Kingdom,12863,16.6,0.42,57 : 43,2021
178,Newcastle University,https://www.timeshighereducation.com/world-university-rankings/newcastle-university,United Kingdom,24089,14.6,0.27,51 : 49,2021
178,Paris-Saclay University,https://www.timeshighereducation.com/world-university-rankings/paris-saclay-university,France,28618,14.6,0.16,55 : 45,2021
